77.105.188.73|443|200|789|http/1.1|1.0|0
77.105.188.74|443|200|902|http/1.1|1.0|0
77.105.188.75|443|200|947|http/1.1|1.0|0
77.105.188.78|443|200|780|http/1.1|1.0|0
77.105.188.77|443|200|951|http/1.1|1.0|0
77.105.188.76|443|200|798|http/1.1|1.0|0
77.105.188.5|443|200|948|http/1.1|1.0|0
77.105.188.4|443|403|936|http/1.1|1.0|0
77.105.188.6|443|403|875|http/1.1|1.0|0
77.105.188.14|80|301|559|http|1.0|0
77.105.188.14|443|404|654|http/1.1|1.0|0
77.105.188.11|443|403|811|http/1.1|1.0|0
77.105.188.12|443|403|732|http/1.1|1.0|0
77.105.188.38|443|200|938|http/1.1|1.0|0
77.105.188.58|443|200|1170|http/1.1|1.0|0
77.105.188.86|443|410|1141|http/1.1|0.5|0
77.105.188.250|443|200|831|http/1.1|1.0|0
77.105.188.244|443|302|1506|http/1.1|1.0|0
77.105.188.243|443|200|1470|http/1.1|1.0|0
77.105.189.78|443|403|627|http/1.1|1.0|0
77.105.189.66|443|302|846|http/1.1|1.0|0
77.105.188.218|443|302|1102|http/1.1|1.0|0
77.105.189.84|443|302|778|http/1.1|1.0|0
77.105.189.106|443|200|743|http/1.1|1.0|0
77.105.189.75|8443|400|1294|http/1.1|1.0|0
77.105.189.109|443|302|597|http/1.1|1.0|0
77.105.189.211|443|401|1085|h2|1.0|0
77.105.189.215|443|502|787|http/1.1|1.0|0
77.105.189.216|443|502|770|http/1.1|1.0|0
77.105.189.210|443|500|929|h2|1.0|0
77.105.189.222|443|200|1045|h2|1.0|0
77.105.189.180|443|301|820|http/1.1|1.0|0
77.105.189.198|443|400|931|http/1.1|1.0|0
77.105.189.181|443|302|962|http/1.1|1.0|0
77.105.189.194|443|302|1185|http/1.1|1.0|0
77.105.189.254|443|401|838|http/1.1|1.0|0
77.105.189.254|8443|200|805|http/1.1|1.0|0
77.105.191.2|443|410|1088|http/1.1|1.0|0
77.105.191.4|443|410|1118|http/1.1|1.0|0
77.105.191.3|443|410|1046|http/1.1|1.0|0
77.105.191.5|443|410|1063|http/1.1|1.0|0
77.105.191.6|443|410|954|http/1.1|1.0|0
77.105.191.7|443|410|1045|http/1.1|1.0|0
77.105.191.8|443|410|973|http/1.1|1.0|0
77.105.191.9|443|410|991|http/1.1|1.0|0
77.105.191.10|443|410|992|http/1.1|1.0|0
77.105.191.11|443|410|1102|http/1.1|1.0|0
77.105.191.12|443|410|1024|http/1.1|1.0|0
77.105.191.13|443|410|982|http/1.1|1.0|0
77.105.191.14|443|410|1150|http/1.1|1.0|0
77.105.191.15|443|410|1127|http/1.1|1.0|0
77.105.191.16|443|410|1089|http/1.1|1.0|0
77.105.191.190|443|200|1333|http/1.1|1.0|0
77.105.191.210|443|302|1313|http/1.1|1.0|0
77.105.191.210|8443|400|700|http/1.1|1.0|0
77.105.191.138|443|503|726|h2|1.0|0
77.105.191.254|443|200|743|http/1.1|1.0|0
45.112.245.93|443|302|918|h2|1.0|0
45.112.245.198|443|200|883|http/1.1|1.0|0
45.112.245.7|443|200|1360|http/1.1|1.0|0
45.112.245.44|443|200|927|http/1.1|1.0|0
45.112.245.217|443|200|802|http/1.1|1.0|0
45.112.245.155|443|404|1185|http/1.1|1.0|0
45.112.246.86|443|301|859|h2|1.0|0
45.112.246.86|2083|200|1207|http/1.1|1.0|0
45.112.246.86|2087|200|1143|http/1.1|1.0|0
45.112.246.86|2096|200|1224|http/1.1|1.0|0
45.112.246.83|443|200|810|http/1.1|1.0|0
45.112.246.83|2083|200|1215|http/1.1|1.0|0
45.112.246.83|2087|200|1153|http/1.1|1.0|0
45.112.246.83|2096|200|1125|http/1.1|1.0|0
45.112.245.209|80|301|518|http|1.0|0
45.112.245.209|443|404|698|http/1.1|1.0|0
45.112.245.219|443|200|589|http/1.1|1.0|0
45.112.246.84|443|200|1046|h2|1.0|0
45.112.246.84|2083|200|1301|http/1.1|1.0|0
45.112.246.84|2096|200|1337|http/1.1|1.0|0
45.112.246.85|443|200|1017|h2|1.0|0
45.112.246.85|2087|200|1329|http/1.1|1.0|0
45.112.246.85|2096|200|1319|http/1.1|1.0|0
45.112.245.242|443|200|929|http/1.1|1.0|0
